登记证号,农药名称,农药类别,剂型,总含量,有效期至,登记证持有人,持有人地址
PD20040149,高效氯氰菊酯,杀虫剂,原药,96%,2029-12-19,江苏蓝丰生物化工有限公司,江苏省徐州市新沂市经济开发区宁夏路2号
PD20040147,吡虫·三唑酮,杀虫剂/杀菌剂,可湿性粉剂,8%,2029-12-19,江苏省扬州市苏灵农药化工有限公司,江苏省扬州市江都市宜陵镇
PD20040144,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,河南科辉实业有限公司,河南省新密市白寨镇光武陈村
PD20040143,吡虫啉,杀虫剂,可湿性粉剂,25%,2029-12-19,南京华洲药业有限公司,南京市高淳区古潭大道18号红太阳
PD20040141,吡虫啉,杀虫剂,乳油,5%,2029-12-19,广西安泰化工有限责任公司,平南街道甘莲村
PD20040140,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,四川省宜宾川安高科农药有限责任公司,四川省江安县井口镇
PD20040137,吡虫啉,杀虫剂,可溶液剂,20%,2029-12-19,南京华洲药业有限公司,南京市高淳区古潭大道18号红太阳
PD20040133,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,渭南东旺农华生物科技有限公司,陕西省渭南市高新技术产业开发区锦华大道与建业二路交叉口北200米路东
PD20040132,高效氯氰菊酯,杀虫剂,微乳剂,4.5%,2029-12-19,河北野田农用化学有限公司,河北省石家庄市元氏县城南工业区
PD20040130,三唑酮,杀菌剂,可湿性粉剂,15%,2029-12-19,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20040129,高效氯氰菊酯,杀虫剂,水乳剂,4.5%,2029-12-19,陕西华戎凯威生物有限公司,陕西省西安市临潼区新丰镇道北路
PD20040128,高效氯氰菊酯,杀虫剂,乳油,2.5%,2029-12-19,天津市施普乐农药技术发展有限公司,天津市武清区陈咀镇渔坝口村东
PD20040127,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,南通泰禾化工股份有限公司,江苏省南通市如东县洋口化工聚集区
PD20040125,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20040123,三唑酮,杀菌剂,乳油,20%,2029-12-19,江苏好收成韦恩农化股份有限公司,江苏省启东市老启东港
PD20040122,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,天津市华宇农药有限公司,天津市青泊洼农场
PD20040117,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,江苏蓝丰生物化工有限公司,江苏省徐州市新沂市经济开发区宁夏路2号
PD20040116,氯氰菊酯,杀虫剂,微乳剂,5%,2029-12-19,河北赛瑞德化工有限公司,河北省沧州临港化工园区精细化工区
PD20040114,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,上海升联化工有限公司,上海市奉贤区柘林镇宅兴路59号
PD20040111,高效氯氰菊酯,杀虫剂,母液,27%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040110,三唑酮,杀菌剂,乳油,20%,2029-12-19,河南远见农业科技有限公司,新尉工业园区
PD20040109,三唑酮,杀菌剂,可湿性粉剂,15%,2029-12-19,河南远见农业科技有限公司,新尉工业园区
PD20040108,多·酮,杀菌剂,可湿性粉剂,47%,2029-12-19,江苏东宝农化股份有限公司,江苏省扬州市江都市宜陵镇
PD20040107,三唑酮,杀菌剂,乳油,20%,2029-12-19,江苏苏中农药化工厂,江苏省泰州市泰兴市黄桥镇印三路2号
PD20040105,多·酮,杀菌剂,可湿性粉剂,40%,2029-12-19,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20040104,三唑酮,杀菌剂,可湿性粉剂,25%,2029-12-19,江苏剑牌农化股份有限公司,江苏省盐城市建湖县城冠华东路1008号
PD20040103,三唑酮,杀菌剂,可湿性粉剂,15%,2029-12-19,江苏剑牌农化股份有限公司,江苏省盐城市建湖县城冠华东路1008号
PD20040102,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,陕西华戎凯威生物有限公司,陕西省西安市临潼区新丰镇道北路
PD20040101,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,江苏东宝农化股份有限公司,江苏省扬州市江都市宜陵镇
PD20040100,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,浙江省杭州泰丰化工有限公司,浙江省杭州市余杭区崇贤街道老鸦桥
PD20040099,高效氯氰菊酯,杀虫剂,乳油,2.5%,2029-12-19,山东恒利尔生物科技有限公司,山东省菏泽市巨野县董官屯镇纬七路中段路南
PD20040098,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,河南远见农业科技有限公司,新尉工业园区
PD20040097,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,江苏仁信生物技术有限公司,江苏省淮安工业园区李湾路8号
PD20040096,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,河南省金旺生化有限公司,河南省周口市沈丘县付井镇工业区
PD20040095,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-19,江苏稼穑化学有限公司,江苏省涟水经济开发区薛行工业园区
PD20040093,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,河北八源生物制品有限公司,河北辛集高新技术产业开发区太行大道19号
PD20040092,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,南阳市福来生物有限公司,河南省南阳市桐柏县先进制造业开发区物流路与创业路交叉口1号
PD20040091,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,四川润尔科技有限公司,四川省简阳市平泉镇
PD20040089,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,河北赛瑞德化工有限公司,河北省沧州临港化工园区精细化工区
PD20040088,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,河北赛瑞德化工有限公司,河北省沧州临港化工园区精细化工区
PD20040087,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,山东省济南科海有限公司,山东省济南市平阴县青龙路
PD20040085,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,河北德沐药业有限责任公司,石家庄市元氏县城南工业区（107国道宋曹道口）
PD20040084,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,山东省济南科海有限公司,山东省济南市平阴县青龙路
PD20040082,高效氯氰菊酯,杀虫剂,水乳剂,4.5%,2029-12-19,江苏东宝农化股份有限公司,江苏省扬州市江都市宜陵镇
PD20040081,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,山东曹达化工有限公司,山东省菏泽市牡丹皇镇高新化工园区淮河路666号
PD20040080,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,邯郸市瑞田农药有限公司,河北省邯郸市邯大公路38公里处
PD20040079,氯氰菊酯,杀虫剂,乳油,5%,2029-12-19,四川百事诺润生物科技有限公司,四川省眉山市东坡区尚义镇万华大道8号附65号
PD20040078,多·酮,杀菌剂,可湿性粉剂,25%,2029-12-19,山东曹达化工有限公司,山东省菏泽市牡丹皇镇高新化工园区淮河路666号
PD20040077,硫磺·三唑酮,杀菌剂,悬浮剂,20%,2029-12-19,青岛正道药业有限公司,山东省莱西市姜山镇盛德路西
PD20040076,多·酮,杀菌剂,可湿性粉剂,60%,2029-12-19,安徽中北生物科技有限公司,安徽省蚌埠市淮上区沫河口工业园区金潼路东侧、淝河中路21号
PD20040075,三唑酮,杀菌剂,乳油,20%,2029-12-19,青岛正道药业有限公司,山东省莱西市姜山镇盛德路西
PD20040074,多·酮,杀菌剂,可湿性粉剂,30%,2029-12-19,四川省川东农药化工有限公司,四川省达州市渠县渠江镇东大街
PD20040073,三唑酮,杀菌剂,乳油,20%,2029-12-19,中植科创（山东）有限公司,聊城市阳谷县侨润办事处北外环路与建设路交叉口300米路南
PD20040071,三唑酮,杀菌剂,乳油,20%,2029-12-19,安道麦安邦（江苏）有限公司,江苏省淮安市清浦区化工路30号
PD20040070,三唑酮,杀菌剂,可湿性粉剂,15%,2029-12-19,四川省川东农药化工有限公司,四川省达州市渠县渠江镇东大街
PD20040069,三唑酮,杀菌剂,可湿性粉剂,15%,2029-12-19,江苏克胜集团股份有限公司,江苏省盐城市建湖县盐淮路888号
PD20040068,顺式氯氰菊酯,杀虫剂,原药,92%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040067,高效氯氰菊酯,杀虫剂,原药,97%,2029-12-19,江苏优嘉植物保护有限公司,江苏省如东沿海经济开发区通海五路
PD20040065,高效氯氰菊酯,杀虫剂,原药,99%,2029-12-19,山东大成生物化工有限公司,山东省淄博市张店区洪沟路25号
PD20040063,高效氯氰菊酯,杀虫剂,原药,95%,2029-12-19,长青（湖北）生物科技有限公司,宜昌姚家港化工园田家河片区马家铺路6号
PD20040061,吡虫啉,杀虫剂,原药,98%,2029-12-19,江苏克胜集团股份有限公司,江苏省盐城市建湖县盐淮路888号
PD20040060,高效反式氯氰菊酯,杀虫剂,原药,95%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040059,吡虫啉,杀虫剂,原药,95%,2029-12-19,黄龙生物科技（辽宁）有限公司,辽宁省盘锦辽东湾新区
PD20040058,高效氯氰菊酯,杀虫剂,原药,95%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040048,多·酮,杀菌剂,可湿性粉剂,30%,2029-12-19,江苏七洲绿色化工股份有限公司,江苏省张家港市东沙化工集中区
PD20040047,吡虫啉,杀虫剂,原药,97%,2029-12-19,江苏常隆农化有限公司,江苏省泰州市泰兴经济开发区团结河路8号
PD20040046,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-19,山东中石药业有限公司,山东省莘县古云经济技术开发区祥云街16号
PD20040045,高效氯氰菊酯,杀虫剂,原药,95%,2029-12-19,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20040044,三唑酮,杀菌剂,原药,95%,2029-12-19,黄龙生物科技（辽宁）有限公司,辽宁省盘锦辽东湾新区
PD20040043,多菌灵,杀菌剂,原药,95%,2029-12-19,安徽捷胜生物科技股份有限公司,安徽省广德市新杭蔡家山精细化工园（广信工业园）
PD20040042,吡虫啉,杀虫剂,原药,95%,2029-12-19,宁夏蓝丰精细化工有限公司,宁夏中卫市沙坡头区美利工业园区
PD20040041,吡虫啉,杀虫剂,原药,95%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040040,吡虫啉,杀虫剂,原药,97%,2029-12-19,宁夏瑞泰科技股份有限公司,宁夏回族自治区中卫市工业园区
PD20040039,吡虫啉,杀虫剂,原药,95%,2029-12-19,沈阳科创化学品有限公司,沈阳经济技术开发区细河九北街17号
PD20040038,氯氰菊酯,杀虫剂,原药,95%,2029-12-19,广东立威化工有限公司,广东省茂名市茂南区金塘镇
PD20040037,氯氰菊酯,杀虫剂,原药,95%,2029-12-19,山东大成生物化工有限公司,山东省淄博市张店区洪沟路25号
PD20040036,氯氰菊酯,杀虫剂,原药,95%,2029-12-19,江苏蓝丰生物化工有限公司,江苏省徐州市新沂市经济开发区宁夏路2号
PD20040035,氯氰菊酯,杀虫剂,原药,92%,2029-12-19,南京红太阳生物化学有限责任公司,南京市高淳区古檀大道18号红太阳
PD20040033,氯氰菊酯,杀虫剂,原药,92%,2029-12-19,山东华阳农药化工集团有限公司,山东省泰安市宁阳县磁窑镇
PD20040032,氯氰菊酯,杀虫剂,原药,92%,2029-12-19,江苏省农药研究所股份有限公司,江苏省南京市化学工业园区长丰河路269号
PD20040464,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20040406,吡虫啉,杀虫剂,乳油,5%,2029-12-18,河南爱力生生物科技有限公司,桐柏县安棚镇化工园
PD20040382,吡虫啉,杀虫剂,乳油,10%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20040381,吡虫啉,杀虫剂,乳油,5%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20040380,吡虫啉,杀虫剂,可溶液剂,5%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20040342,吡虫啉,杀虫剂,乳油,5%,2029-12-18,江西赣旺化工有限公司,江西省抚州市东乡县孝岗镇新建村(东临公路东侧)
PD20040328,吡虫啉,杀虫剂,可湿性粉剂,10%,2029-12-18,江苏莱科化学有限公司,江苏省如东县洋口化学工业园海滨二路
PD20040319,吡虫啉,杀虫剂,可湿性粉剂,25%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20040236,多·酮,杀菌剂,可湿性粉剂,36%,2029-12-18,安徽苏正智慧农业有限公司,安徽省蚌埠市固镇县开发区三星大道
PD20040051,吡虫啉,杀虫剂,原药,95%,2029-12-18,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
WP20140258,电热蚊香片,卫生杀虫剂,电热蚊香片,37.5毫克/片,2029-12-17,河北康达有限公司,河北省保定市天鹅中路118号
WP20140257,杀虫气雾剂,卫生杀虫剂,气雾剂,0.31%,2029-12-17,广东莱雅新化工科技有限公司,广东省韶关市武江区西联镇甘棠大道南7号
WP20140256,杀虫气雾剂,卫生杀虫剂,气雾剂,0.55%,2029-12-17,湖南九喜科技股份有限公司,湖南省岳阳市汨罗市汨罗江工业园区
WP20140255,电热蚊香液,卫生杀虫剂,电热蚊香液,0.6%,2029-12-17,晋江金童蚊香制品有限公司,福建省泉州市晋江市经济开发区（五里园）兴丁路11号
WP20090380,胺菊酯,卫生杀虫剂,原药,95%,2029-12-17,广东立威化工有限公司,广东省茂名市茂南区金塘镇
PD20142678,苯甲·嘧菌酯,杀菌剂,悬浮剂,325克/升,2029-12-17,安徽尚禾沃达生物科技有限公司,安徽省合肥市史河路凤凰城2期31栋102室
PD20142677,噻呋酰胺,杀菌剂,悬浮剂,240克/升,2029-12-17,江苏富田农化有限公司,江苏省南京市化学工业园红山精细化工园双巷路60号（六合区瓜埠镇内）
PD20142676,草甘膦铵盐,除草剂,可溶粒剂,68%,2029-12-17,重庆丰化科技有限公司,重庆市永川区化工路808号
PD20142675,嘧菌酯,杀菌剂,悬浮剂,250克/升,2029-12-17,安徽辉隆集团银山药业有限责任公司,安徽省合肥市包河区延安路1779号汇元国际19楼
PD20142674,阿维·三唑锡,杀虫剂,悬浮剂,21%,2029-12-17,陕西标正作物科学有限公司,高新技术产业开发区朝阳大街西段67号
PD20142672,霜霉·乙酸铜,杀菌剂,可溶液剂,51%,2029-12-17,潍坊万胜生物农药有限公司,山东省潍坊市经济开发区友爱路1888号
PD20142671,吡蚜酮,杀虫剂,可湿性粉剂,25%,2029-12-17,福建新农大正生物工程有限公司,福建省福州市仓山区建新镇金工2号福州海峡创意产业园2号楼3层2310单元
PD20142670,嘧菌酯,杀菌剂,悬浮剂,250克/升,2029-12-17,江苏丰源生物工程有限公司,江苏省射阳县合德镇红旗路6号(原9号)
PD20142669,噻嗪·异丙威,杀虫剂,可湿性粉剂,25%,2029-12-17,山东荣邦化工有限公司,山东省寿光市侯镇海洋化工园区丰南路以南
PD20142668,烟嘧·莠去津,除草剂,可分散油悬浮剂,24%,2029-12-17,张掖市大弓农化有限公司,甘肃省张掖市甘州区东北郊开发区
PD20142667,己唑醇,杀菌剂,悬浮剂,40%,2029-12-17,江西劲农作物保护有限公司,江西省九江市湖口县金砂湾工业园
PD20142666,毒死蜱,杀虫剂,颗粒剂,25%,2029-12-17,浙江新农化工股份有限公司,浙江省仙居县杨府三里溪
PD20142665,毒死蜱,杀虫剂,颗粒剂,15%,2029-12-17,四川先易达农化有限公司,四川省广安市经济开发区新桥化工园区科塔大道8号
PD20142664,阿维菌素,杀虫剂,乳油,10%,2029-12-17,安徽美兰农业发展股份有限公司,安徽省合肥市蜀山区小庙工业聚集区
PD20142663,二氯喹啉酸,除草剂,可湿性粉剂,50%,2029-12-17,蚌埠圣丹生物化工有限公司,安徽省蚌埠市淮上区沫河口工业园淝河中路23号
PD20142662,硝磺草酮,除草剂,可分散油悬浮剂,20%,2029-12-17,山东奥坤作物科学股份有限公司,山东省济南市商河县韩庙镇（济南市植保科技工业园）
PD20142661,己唑醇,杀菌剂,悬浮剂,10%,2029-12-17,江西农大植保化工有限公司,江西省宜春市奉新县冯田经济开发区
PD20142660,灭胺·杀虫单,杀虫剂,可溶粉剂,50%,2029-12-17,青岛滨海泰生作物科学有限公司,姜山镇昌宝路5号
PD20142659,戊唑醇,杀菌剂,悬浮种衣剂,60克/升,2029-12-17,山东潍坊双星农药有限公司,山东省潍坊滨海开发区工业街以北
PD20142658,苯醚甲环唑,杀菌剂,悬浮剂,25%,2029-12-17,山东亿嘉农化有限公司,山东省寿光市开发区
PD20142657,噻呋酰胺,杀菌剂,悬浮剂,240克/升,2029-12-17,孟州广农汇泽生物科技有限公司,河南省孟州市产业集聚区
PD20142656,毒死蜱,杀虫剂,颗粒剂,15%,2029-12-17,山东绿丰源作物科学有限公司,山东省济南市商河县韩庙镇赵韩路6566号济南市植保科技工业园
PD20142655,毒死蜱,杀虫剂,微囊悬浮剂,30%,2029-12-17,河南贝力沃生物科技有限公司,河南省荥阳市南环路中段
PD20142654,甲氨基阿维菌素苯甲酸盐,杀虫剂,微乳剂,3%,2029-12-17,南阳市新丰达生物有限公司,河南省南阳市桐柏县安棚镇化工园
PD20142653,高效氯氟氰菊酯,杀虫剂,悬浮剂,2.5%,2029-12-17,福建省莆田市友缘实业有限公司,福建省莆田市涵江区涵华东路塔桥
PD20142652,稻瘟酰胺,杀菌剂,原药,96%,2029-12-17,山东京博农化科技股份有限公司,山东省滨州市博兴县致泰广场D座22-23层
PD20098411,氯氟吡氧乙酸异辛酯（288克/升）,除草剂,乳油,/,2029-12-17,重庆中邦药业（集团）有限公司,重庆市涪陵区新城区金银居委三组
PD20098409,吗胍·乙酸铜,杀菌剂,可湿性粉剂,20%,2029-12-17,天津市施普乐农药技术发展有限公司,天津市武清区陈咀镇渔坝口村东
PD20098408,吗胍·乙酸铜,杀菌剂,可湿性粉剂,20%,2029-12-17,青岛中达农业科技有限公司,山东省青岛市平度市新河生态化工科技产业基地升水路3号
PD20098407,矮壮素,植物生长调节剂,原药,97%,2029-12-17,鹤壁全丰生物科技有限公司,河南省鹤壁市鹤山区姬家山产业园1号
PD20098406,高效氯氟氰菊酯,杀虫剂,乳油,25克/升,2029-12-17,广西坤泰化工科技有限公司,广西南宁市科园大道80号浩宇国际七楼713
PD20098405,吗胍·乙酸铜,杀菌剂,可湿性粉剂,20%,2029-12-17,青岛东生药业有限公司,山东省青岛平度市云山镇驻地
PD20098404,多·硫,杀菌剂,悬浮剂,50%,2029-12-17,山东大农药业有限公司,坊前工业园
PD20098402,草甘膦异丙胺盐,除草剂,水剂,30%,2029-12-17,广西拜科生物科技有限公司,双桥镇腾翔朝燕林场分场旁
PD20098401,双甲脒,杀虫剂,乳油,200克/升,2029-12-17,运城绿齐农药有限公司,山西省临猗县东环路188号
PD20098400,吡虫啉,杀虫剂,水分散粒剂,70%,2029-12-17,青岛滨海泰生作物科学有限公司,姜山镇昌宝路5号
PD20098399,高氯·啶虫脒,杀虫剂,乳油,5%,2029-12-17,涿州市翔翊华太生物技术有限公司,河北省保定市涿州市松林店镇
PD20098398,阿维菌素,杀虫剂,乳油,3.2%,2029-12-17,济南天邦化工有限公司,山东省济南市商河县经济开发区内汇源街以北晟朗西路以西
PD20098397,烟嘧磺隆,除草剂,可分散油悬浮剂,40克/升,2029-12-17,安徽丰乐农化有限责任公司,安徽省肥东县合肥循环经济示范园
PD20098396,盐酸吗啉胍,杀菌剂,可溶粉剂,5%,2029-12-17,威海韩孚生化药业有限公司,山东省威海市乳山市乳山寨镇
PD20098393,甲哌鎓,杀菌剂,原药,99%,2029-12-17,潍坊华诺生物科技有限公司,山东省潍坊市北宫西街潍城交警队300米
PD20098392,阿维菌素,杀虫剂,乳油,1.8%,2029-12-17,德州大成伟业农业科技有限公司,山东省德州市经济开发区
PD20098391,乙草胺,除草剂,乳油,81.5%,2029-12-17,河南一田农业发展有限公司,郑州航空港经济综合实验区密杞路路南400米
PD20098390,氯氰·丙溴磷,杀虫剂,乳油,440克/升,2029-12-17,唐山晟红化工有限公司,河北省唐山市南堡经济开发区荣业道19号
PD20098389,高效氯氰菊酯,杀虫剂,乳油,4.5%,2029-12-17,葫芦岛市鹏翔农药化工科技有限公司,辽宁省葫芦岛市连山区塔山乡信屯村
PD20098387,毒死蜱,杀虫剂,乳油,45%,2029-12-17,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20098386,氟硅唑,杀菌剂,乳油,400克/升,2029-12-17,德州祥龙生化有限公司,山东省德州市宁津县经济开发区化工园区，314延伸线以北，工业二路以西
PD20098385,乙氧氟草醚,除草剂,乳油,240克/升,2029-12-17,天津市华宇农药有限公司,天津市青泊洼农场
PD20098384,甲霜·锰锌,杀菌剂,可湿性粉剂,72%,2029-12-17,陕西上格之路生物科学有限公司,陕西省西安市高新区集贤园创业大道9号
PD20098382,三唑磷,杀虫剂,原药,85%,2029-12-17,山东尚农农业科技有限公司,山东省菏泽市鄄城县化工产业聚集区
PD20098381,阿维菌素,杀虫剂,乳油,1.8%,2029-12-17,潍坊澳得利生物科技有限公司,潍坊滨海经济开发区海港路路南
PD20098380,吗胍·乙酸铜,杀菌剂,可湿性粉剂,20%,2029-12-17,重庆依尔双丰科技有限公司,重庆市永川区双石镇大涧口村
PD20098379,噻嗪·异丙威,杀虫剂,可湿性粉剂,25%,2029-12-17,安徽陆野农化有限责任公司,安徽省亳州市谯城区十河工业区
PD20098378,毒死蜱,杀虫剂,乳油,45%,2029-12-17,安徽陆野农化有限责任公司,安徽省亳州市谯城区十河工业区
PD20098377,多菌灵,杀菌剂,可湿性粉剂,50%,2029-12-17,河南常见生物科技有限公司,河南省周口市太康县常营镇高寨村南800米镇政府林场
PD20098376,烟嘧磺隆,除草剂,可分散油悬浮剂,40克/升,2029-12-17,河南恒信农化有限公司,河南省鹤壁市鹤山区姬家山产业园快速通道东侧6号
PD20098375,仲丁威,杀虫剂,乳油,20%,2029-12-17,蚌埠格润生物科技有限公司,安徽省蚌埠市淮上区沫河口工业园开源大道18号
PD20098373,吡嘧磺隆,除草剂,可湿性粉剂,10%,2029-12-17,济南乐丰作物科学有限公司,山东省济南市商河县经济开发区汇源街2018号
PD20098372,阿维菌素,杀虫剂,乳油,1.8%,2029-12-17,安徽陆野农化有限责任公司,安徽省亳州市谯城区十河工业区
PD20098371,氯氰·敌敌畏,杀虫剂,乳油,10%,2029-12-17,山东秀邦生物科技有限公司,山东省济南市历城区华信路15号
PD20098370,溴氰菊酯,杀虫剂,乳油,25克/升,2029-12-17,广西贝嘉尔生物化学制品有限公司,广西隆安县华侨管理区（广西隆安浪湾华侨农场那飞分场）
PD20098369,联苯菊酯,杀虫剂,乳油,25克/升,2029-12-17,河北博嘉农业有限公司,河北省石家庄经济技术开发区西马村
PD20098368,甲基硫菌灵,杀菌剂,糊剂,3%,2029-12-17,四川科利隆作物科技有限公司,四川省广安市经开区新桥工业园
PD20098367,十三吗啉,杀菌剂,乳油,750克/升,2029-12-17,东莞市瑞德丰生物科技有限公司,广东省东莞市大岭山镇美横街12号
PD20098366,甲基硫菌灵,杀菌剂,悬浮剂,500克/升,2029-12-17,西安诺达丰生物科技有限公司,陕西省西安市灞桥区田洪正街137号
PD20098365,三环唑,杀菌剂,可湿性粉剂,75%,2029-12-17,四川科利隆作物科技有限公司,四川省广安市经开区新桥工业园
PD20098364,代森锌,杀菌剂,可湿性粉剂,65%,2029-12-17,广东秉正作物科技有限公司,茂名高新技术产业开发区西南片区河南一区F-01质检中心楼一楼
PD20098363,吡虫啉,杀虫剂,可溶液剂,20%,2029-12-17,山东海而三利生物化工有限公司,山东省诸城市开发区横五路西段北侧
PD20098362,甲氨基阿维菌素苯甲酸盐,杀虫剂,可溶粒剂,2%,2029-12-17,河北威远生物化工有限公司,河北省石家庄循环化工园区化工中路6号
PD20098361,草甘膦异丙胺盐(41%),除草剂,水剂,/,2029-12-17,山东荣邦化工有限公司,山东省寿光市侯镇海洋化工园区丰南路以南
PD20098360,多·福·唑醇,杀菌剂,悬浮种衣剂,20%,2029-12-17,安徽禾健生物科技有限公司,安徽省萧县永堌轻化工业园区
PD20098359,井·噻·杀虫单,杀虫剂/杀菌剂,可湿性粉剂,50%,2029-12-17,江苏东宝农化股份有限公司,江苏省扬州市江都市宜陵镇
PD20098358,戊唑醇,杀菌剂,悬浮种衣剂,60克/升,2029-12-17,山东省联合农药工业有限公司,山东省泰安市岱岳区范镇胜利路中段
PD20098357,戊唑醇,杀菌剂,水乳剂,250克/升,2029-12-17,安徽华星化工有限公司,安徽省和县乌江镇
PD20098356,哒螨·矿物油,杀螨剂,乳油,34%,2029-12-17,江西中迅农化有限公司,江西省南昌市安义县工业园区金属材料产业基地（东阳大道）
PD20098355,阿维·矿物油,杀螨剂,乳油,24.5%,2029-12-17,兰博尔开封科技有限公司,精细化工产业集聚区郑杞公路以南经二路以东
PD20098354,噻嗪酮,杀虫剂,可湿性粉剂,25%,2029-12-17,青岛星牌作物科学有限公司,山东省青岛市莱西市姜山镇前垛埠村(釜山工业园)
PD20098353,炔螨特,杀螨剂,乳油,73%,2029-12-17,河南豫之星作物保护有限公司,孟州市产业集聚区
PD20098352,戊唑醇,杀菌剂,悬浮剂,430克/升,2029-12-17,安道麦马克西姆有限公司,北京市朝阳区朝阳公园南路10号院7号楼4层401
PD20098351,吡虫啉,杀虫剂,可湿性粉剂,25%,2029-12-17,青岛瀚生生物科技股份有限公司,青岛莱西市深圳南路210号
PD20098350,高效氯氟氰菊酯,杀虫剂,乳油,25克/升,2029-12-17,青岛星牌作物科学有限公司,山东省青岛市莱西市姜山镇前垛埠村(釜山工业园)
PD20098349,噻嗪·异丙威,杀虫剂,可湿性粉剂,25%,2029-12-17,山东绿邦作物科学股份有限公司,山东省济南市章丘市水寨镇水南村
PD20098348,杀螟硫磷,杀虫剂,乳油,45%,2029-12-17,江西巴姆博生物科技有限公司,江西省吉安市新干县城北工业园
PD20098347,高效氟吡甲禾灵,除草剂,乳油,108克/升,2029-12-17,安徽众邦生物工程有限公司,安徽省合肥市蜀山区经济开发区汶水路1201号电商三期3栋A区7层
PD20098346,速灭威,杀虫剂,可湿性粉剂,25%,2029-12-17,青岛星牌作物科学有限公司,山东省青岛市莱西市姜山镇前垛埠村(釜山工业园)
PD20098345,苄·乙·二氯喹,除草剂,可湿性粉剂,19.2%,2029-12-17,联磷磷品（江苏）有限公司,淮安工业园区实联大道西1号103室
PD20098344,烷醇·硫酸铜,植物生长调节剂,悬浮剂,2.8%,2029-12-17,河南豫珠恒力生物科技有限责任公司,河南省郑州市金水区农科路38号金成国际广场4号楼103室
PD20098343,2甲·苄,除草剂,可湿性粉剂,18%,2029-12-17,祥霖美丰生物科技（淮安）有限公司,江苏省淮安盐化新材料产业园区(苏淮高新区)张码路11号
PD20098341,敌·辛,杀虫剂,乳油,50%,2029-12-17,山东泰阳生物科技有限公司,山东省泰安市宁阳县经济开发区化学工业园石崮河街
PD20098340,三十烷醇,植物生长调节剂,微乳剂,0.1%,2029-12-17,陕西先农生物科技有限公司,陕西省西安市未央区凤城二路海璟国际B2座15楼
PD20098339,吗胍·乙酸铜,杀菌剂,可湿性粉剂,20%,2029-12-17,山西奇星农药有限公司,山西省运城市黄河大道北端
PD20098338,啶虫脒,杀虫剂,可湿性粉剂,5%,2029-12-17,陕西汤普森生物科技有限公司,陕西蒲城县北环路中段
